geo,year,crop,area,prod
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2002,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2003,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2004,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2005,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2006,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2007,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2008,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,fresh_veg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,brassicas,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,cauli_broc,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,brusselssprouts,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,cabbage,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,leafy_stalkedveg,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,lettuces,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,lettuce_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,spinach,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,tomatoes,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,tomatoes_freshcons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,tomatoes_processing,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,tomatoes_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,cucumbers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,cucumbers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,watermelons,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,peppers,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,peppers_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,carrots,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,onions,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2009,tomatoe_ug,NA,NA
European Union (EU6-1958 EU9-1973 EU10-1981 EU12-1986 EU15-1995 EU25-2004 EU27-2007 EU28-2013 EU27-2020),2010,fresh_veg,NA,NA
